	Model	Max answer length	Start top K	Mid top K	Top K	Doc top K	Nprobe	Sparse weight	Search strategy	EM_TOP1	F1_TOP1	EM_TOPK	F1_TOPK	Elapsed time
0	denspi	50	100	10	10	5	256	1	hybrid	5.617977528089888	17.703938851761365	13.48314606741573	38.09736707095258	150.89180159568787
1	denspi	50	100	10	10	5	256	1	dense_first	6.741573033707865	18.803365820822513	23.59550561797753	42.89795031194918	153.74942135810852
2	denspi	50	100	10	10	5	256	1	sparse_first	5.617977528089888	16.726022591624353	8.98876404494382	33.96167005885108	57.006839990615845
3	denspi	50	100	10	10	5	512	0.0001	hybrid	12.359550561797754	21.765819376519982	19.10112359550562	37.323702212554885	217.9191164970398
4	denspi	50	100	10	10	5	512	0.0001	dense_first	12.359550561797754	21.765819376519982	19.10112359550562	37.02736933195233	210.54442620277405
5	denspi	50	100	10	10	5	512	0.0001	sparse_first	7.865168539325842	18.763827498033418	14.606741573033707	37.56709169792465	53.80789256095886
6	denspi	50	100	10	10	5	512	0.001	hybrid	12.359550561797754	22.1285238906142	19.10112359550562	37.323702212554885	224.5432367324829
7	denspi	50	100	10	10	5	512	0.001	dense_first	12.359550561797754	22.1285238906142	19.10112359550562	37.02736933195233	199.26316213607788
8	denspi	50	100	10	10	5	512	0.001	sparse_first	7.865168539325842	18.763827498033418	14.606741573033707	37.56709169792465	45.506662368774414
9	denspi	50	100	10	10	5	512	0.01	hybrid	12.359550561797754	22.016164340052406	20.224719101123597	37.91610803263665	179.82357788085938
10	denspi	50	100	10	10	5	512	0.01	dense_first	12.359550561797754	22.016164340052406	20.224719101123597	37.595080745317226	208.56624293327332
11	denspi	50	100	10	10	5	512	0.01	sparse_first	7.865168539325842	18.763827498033418	14.606741573033707	37.56709169792465	52.852683782577515
12	denspi	50	100	10	10	5	512	0.1	hybrid	14.606741573033707	25.37987142050174	24.719101123595507	45.59131941524228	189.58556962013245
13	denspi	50	100	10	10	5	512	0.1	dense_first	12.359550561797754	20.051694745030055	21.348314606741575	40.200609850113764	186.87369799613953
14	denspi	50	100	10	10	5	512	0.1	sparse_first	8.98876404494382	19.314353547716177	14.606741573033707	37.493784076346174	48.41919469833374
15	denspi	50	100	10	10	5	512	0.5	hybrid	7.865168539325842	21.227213330092024	21.348314606741575	44.05717912016376	182.75653862953186
16	denspi	50	100	10	10	5	512	0.5	dense_first	10.112359550561798	21.31348457137084	22.471910112359552	42.21724190309282	172.2352635860443
17	denspi	50	100	10	10	5	512	0.5	sparse_first	6.741573033707865	18.33232640017535	12.359550561797754	36.84924440709958	46.496047019958496
18	denspi	50	100	10	10	5	512	1	hybrid	5.617977528089888	17.703938851761365	13.48314606741573	38.09736707095258	199.51052618026733
